,file_ID,RMSD_pred-ex_w,Tm_pred-ex_w,RMSD_pred-ex_wo,Tm_pred-ex_wo,RMSD_w_wo,Tm_w_wo,pLDDT_w,pLDDT_wo
0,afm_d1u7ba1_2.pdb_partialdiff_7_seq_30.pdb_relaxed_capsid_1_design_full.pdb,29.22461700439453,0.1906,30.494308471679688,0.23708,25.11602210998535,0.19532,77.55772043478261,82.26076382054993
0,afm_7k00o_8.pdb_partialdiff_2_seq_35.pdb_relaxed_capsid_2_design_full.pdb,31.671695709228516,0.18148,26.0806941986084,0.1962,26.587543487548828,0.24992,61.312928,56.471818037974685
0,metric_6iwva_5.pdb_partialdiff_6_seq_2.pdb_relaxed_capsid_0_design_full.pdb,17.643932342529297,0.26826,25.59222412109375,0.33788,22.620058059692383,0.27276,74.47229651972158,71.87373686826844
0,afm_3zc0d00_2.pdb_partialdiff_3_seq_17.pdb_relaxed_capsid_2_design_full.pdb,30.47655487060547,0.20428,26.761138916015625,0.21431,27.579071044921875,0.22693,71.83763973244147,79.06474956736712
0,metric_d3g0oa2_3.pdb_partialdiff_3_seq_25.pdb_relaxed_capsid_4_design_full.pdb,17.312170028686523,0.2973,25.770307540893555,0.67734,12.649930953979492,0.33081,75.55412678185745,70.90627089820359
0,metric_1c4ka04_0.pdb_partialdiff_1_seq_11.pdb_relaxed_capsid_2_capsid_1_design_full.pdb,30.858036041259766,0.20319,22.78785514831543,0.2647,29.88763427734375,0.23696,79.18373795121951,60.88506638537272
0,afm_3onja00_7.pdb_partialdiff_9_seq_7.pdb_relaxed_capsid_1_design_full.pdb,37.30915451049805,0.13563,25.80976104736328,0.25636,30.105697631835938,0.21464,56.931001422475106,78.00719118165784
0,metric_d3g0oa2_5.pdb_partialdiff_6_seq_20.pdb_relaxed_capsid_4_design_full.pdb,23.198396682739258,0.35297,35.590415954589844,0.1468,25.504993438720703,0.19453,62.83653276955602,59.51550229885058
0,afm_d2oxqc__7.pdb_partialdiff_4_seq_22.pdb_relaxed_capsid_4_design_full.pdb,20.108726501464844,0.27788,23.058870315551758,0.43982,26.596256256103516,0.23925,48.58444185110664,77.25946937431394
0,afm_d1dkga1_2.pdb_partialdiff_4_seq_29.pdb_relaxed_capsid_1_design_full.pdb,21.274879455566406,0.27239,52.821067810058594,0.18113,22.613630294799805,0.25055,38.94116258660508,70.49288498168498
0,afm_d4fura__2.pdb_partialdiff_4_seq_30.pdb_relaxed_capsid_2_design_full.pdb,29.63942527770996,0.34008,49.9810905456543,0.10102,5.057186126708984,0.18649,57.81628380462725,41.19659310344828
0,afm_d2hj2a1_5.pdb_partialdiff_0_seq_11.pdb_relaxed_capsid_1_design_full.pdb,27.94597625732422,0.24903,29.54691505432129,0.239,28.87761116027832,0.23123,80.50666562905317,61.76870904109589
0,afm_5i29a_6.pdb_partialdiff_3_seq_12.pdb_relaxed_capsid_3_design_full.pdb,37.03850173950195,0.20378,22.2558536529541,0.35923,11.428544998168945,0.28482,73.37256591928251,77.51317514619883
0,afm_d1dvpa1_1.pdb_partialdiff_0_seq_30.pdb_relaxed_capsid_2_design_full.pdb,40.65077209472656,0.19902,18.924165725708008,0.4001,34.92244338989258,0.23564,82.22773257641921,81.47295612244898
0,afm_d1seda__4.pdb_partialdiff_1_seq_9.pdb_relaxed_capsid_2_design_full.pdb,32.9195442199707,0.20254,21.768110275268555,0.35219,27.02004623413086,0.22166,78.95520742358079,69.07039513108614
0,metric_6s0xt_9.pdb_partialdiff_1_seq_36.pdb_relaxed_capsid_0_design_full.pdb,39.95181655883789,0.19101,32.00592803955078,0.20244,22.06945037841797,0.258,60.212881927710846,54.8375567867036
0,metric_1n1cb02_4.pdb_partialdiff_0_seq_22.pdb_relaxed_capsid_2_design_full.pdb,33.25946807861328,0.13399,14.002830505371094,0.32817,24.34748649597168,0.18631,48.93359683168317,76.79134242424243
0,afm_d1iiba__7.pdb_partialdiff_9_seq_11_capsid_4_design_full.pdb,20.162748336791992,0.23529,33.92690658569336,0.24898,27.296173095703125,0.24478,76.3629950967742,53.18869736211031
0,metric_d7jjka__6.pdb_partialdiff_4_seq_7.pdb_relaxed_capsid_4_design_full.pdb,27.188737869262695,0.16464,24.006900787353516,0.2688,7.173295497894287,0.31168,39.04572203389831,78.08546322067595
0,metric_5l87a00_0.pdb_partialdiff_1_seq_37.pdb_relaxed_capsid_3_design_full.pdb,15.899250984191895,0.43246,34.91702651977539,0.21277,21.755556106567383,0.24341,62.008349302325584,77.9838406374502
0,afm_d3rwoa__3.pdb_partialdiff_8_seq_24.pdb_relaxed_capsid_3_design_full.pdb,26.606853485107422,0.43313,21.958026885986328,0.30018,28.702566146850586,0.16482,83.98987252081756,77.66494048442907
0,afm_3adga00_8.pdb_partialdiff_5_seq_11.pdb_relaxed_capsid_2_design_full.pdb,27.637176513671875,0.18771,25.552505493164062,0.26203,23.294477462768555,0.24997,80.91756737864078,74.17755580736544
